,SerialNumber,DocType,DBYear,PaperSecUID,PaperTitle,ArticleNumber,countryNumber,AuthorNumber,AffiliationNumber,Country,FullOrgName,OrgFirstClassName,Fullname,journaltitle
0,38641324,Article,2015,347464300001,"Price Reaction to Information with Heterogeneous Beliefs and Wealth Effects: Underreaction, Momentum, and Reversal",10.1257/aer.20120881,2,2,3,Italy,Bocconi Univ,IGIER,"Ottaviani, Marco",AMERICAN ECONOMIC REVIEW
1,38641324,Article,2015,347464300001,"Price Reaction to Information with Heterogeneous Beliefs and Wealth Effects: Underreaction, Momentum, and Reversal",10.1257/aer.20120881,2,2,3,Italy,Bocconi Univ,Dept Econ,"Ottaviani, Marco",AMERICAN ECONOMIC REVIEW
2,38641324,Article,2015,347464300001,"Price Reaction to Information with Heterogeneous Beliefs and Wealth Effects: Underreaction, Momentum, and Reversal",10.1257/aer.20120881,2,2,3,Denmark,Univ Copenhagen,Dept Econ,"Sorensen, Peter Norman",AMERICAN ECONOMIC REVIEW
3,38641325,Article,2015,347464300002,Infrastructure Quality and the Subsidy Trap,10.1257/aer.20110572,1,1,1,USA,Univ Michigan,Dept Econ,"McRae, Shaun",AMERICAN ECONOMIC REVIEW
4,38641326,Article,2015,347464300003,Efficient Matching under Distributional Constraints: Theory and Applications,10.1257/aer.20101552,1,2,2,USA,Univ Calif Berkeley,Haas Sch Business,"Kamada, Yuichiro",AMERICAN ECONOMIC REVIEW
5,38641326,Article,2015,347464300003,Efficient Matching under Distributional Constraints: Theory and Applications,10.1257/aer.20101552,1,2,2,USA,Stanford Univ,Dept Econ,"Kojima, Fuhito",AMERICAN ECONOMIC REVIEW
6,38641327,Article,2015,347464300004,Teacher Quality Policy When Supply Matters,10.1257/aer.20121242,1,1,2,USA,Univ Calif Berkeley,Goldman Sch Publ Policy,"Rothstein, Jesse",AMERICAN ECONOMIC REVIEW
7,38641327,Article,2015,347464300004,Teacher Quality Policy When Supply Matters,10.1257/aer.20121242,1,1,2,USA,Univ Calif Berkeley,Dept Econ,"Rothstein, Jesse",AMERICAN ECONOMIC REVIEW
8,38641328,Article,2015,347464300005,Reallocation and Technology: Evidence from the US Steel Industry,10.1257/aer.20130090,1,2,2,USA,Duke Univ,Dept Econ,"Collard-Wexler, Allan",AMERICAN ECONOMIC REVIEW
9,38641328,Article,2015,347464300005,Reallocation and Technology: Evidence from the US Steel Industry,10.1257/aer.20130090,1,2,2,USA,Princeton Univ,Dept Econ,"De Loecker, Jan",AMERICAN ECONOMIC REVIEW
10,38641329,Article,2015,347464300006,Mergers When Prices Are Negotiated: Evidence from the Hospital Industry,10.1257/aer.20130223,2,3,5,USA,Northwestern Univ,Dept Econ,"Nevo, Aviv",AMERICAN ECONOMIC REVIEW
11,38641329,Article,2015,347464300006,Mergers When Prices Are Negotiated: Evidence from the Hospital Industry,10.1257/aer.20130223,2,3,5,USA,NBER,,"Nevo, Aviv",AMERICAN ECONOMIC REVIEW
12,38641329,Article,2015,347464300006,Mergers When Prices Are Negotiated: Evidence from the Hospital Industry,10.1257/aer.20130223,2,3,5,Canada,HEC Montreal,Montreal,"Gowrisankaran, Gautam",AMERICAN ECONOMIC REVIEW
13,38641329,Article,2015,347464300006,Mergers When Prices Are Negotiated: Evidence from the Hospital Industry,10.1257/aer.20130223,2,3,5,USA,NBER,,"Gowrisankaran, Gautam",AMERICAN ECONOMIC REVIEW
14,38641329,Article,2015,347464300006,Mergers When Prices Are Negotiated: Evidence from the Hospital Industry,10.1257/aer.20130223,2,3,5,USA,Univ Arizona,Dept Econ,"Gowrisankaran, Gautam",AMERICAN ECONOMIC REVIEW
15,38641329,Article,2015,347464300006,Mergers When Prices Are Negotiated: Evidence from the Hospital Industry,10.1257/aer.20130223,2,3,5,USA,Univ Penn,Wharton Sch,"Town, Robert",AMERICAN ECONOMIC REVIEW
16,38641329,Article,2015,347464300006,Mergers When Prices Are Negotiated: Evidence from the Hospital Industry,10.1257/aer.20130223,2,3,5,USA,NBER,,"Town, Robert",AMERICAN ECONOMIC REVIEW
17,38641330,Article,2015,347464300007,Paying Attention or Paying Too Much in Medicare Part D,10.1257/aer.20120651,2,3,4,Chile,Univ Los Andes,Sch Business & Econ,"Lucarelli, Claudio",AMERICAN ECONOMIC REVIEW
