,PaperSecUID,PaperTitle,ArticleNumber,countryNumber,AuthorNumber,AffiliationNumber,Country,FullOrgName,OrgFirstClassName,Fullname,journaltitle
0,349962900003,ESTIMATION OF NONPARAMETRIC MODELS WITH SIMULTANEITY,10.3982/ECTA9348,1,1,1,USA,Univ Calif Los Angeles,Dept Econ,"Matzkin, Rosa L.",ECONOMETRICA
1,349962900004,NECESSITY IS THE MOTHER OF INVENTION: INPUT SUPPLIES AND DIRECTED TECHNICAL CHANGE,10.3982/ECTA10811,1,1,2,USA,Univ Calif Los Angeles,Dept Econ,"Hanlon, W. Walker",ECONOMETRICA
2,349962900004,NECESSITY IS THE MOTHER OF INVENTION: INPUT SUPPLIES AND DIRECTED TECHNICAL CHANGE,10.3982/ECTA10811,1,1,2,USA,NBER,,"Hanlon, W. Walker",ECONOMETRICA
3,349962900005,CONSUMPTION DYNAMICS DURING RECESSIONS,10.3982/ECTA11254,1,2,3,USA,NBER,,"Vavra, Joseph",ECONOMETRICA
4,349962900005,CONSUMPTION DYNAMICS DURING RECESSIONS,10.3982/ECTA11254,1,2,3,USA,Univ Chicago,Booth Sch Business,"Vavra, Joseph",ECONOMETRICA
5,349962900005,CONSUMPTION DYNAMICS DURING RECESSIONS,10.3982/ECTA11254,1,2,3,USA,Northwestern Univ,Dept Econ,"Berger, David",ECONOMETRICA
6,349962900006,CONSUMER HETEROGENEITY AND PAID SEARCH EFFECTIVENESS: A LARGE-SCALE FIELD EXPERIMENT,10.3982/ECTA12423,1,3,4,USA,eBay Res Labs,,"Nosko, Chris",ECONOMETRICA
7,349962900006,CONSUMER HETEROGENEITY AND PAID SEARCH EFFECTIVENESS: A LARGE-SCALE FIELD EXPERIMENT,10.3982/ECTA12423,1,3,4,USA,Univ Chicago,,"Nosko, Chris",ECONOMETRICA
8,349962900006,CONSUMER HETEROGENEITY AND PAID SEARCH EFFECTIVENESS: A LARGE-SCALE FIELD EXPERIMENT,10.3982/ECTA12423,1,3,4,USA,eBay Res Labs,,"Blake, Thomas",ECONOMETRICA
9,349962900006,CONSUMER HETEROGENEITY AND PAID SEARCH EFFECTIVENESS: A LARGE-SCALE FIELD EXPERIMENT,10.3982/ECTA12423,1,3,4,USA,eBay Res Labs,,"Tadelis, Steven",ECONOMETRICA
10,349962900006,CONSUMER HETEROGENEITY AND PAID SEARCH EFFECTIVENESS: A LARGE-SCALE FIELD EXPERIMENT,10.3982/ECTA12423,1,3,4,USA,NBER,,"Tadelis, Steven",ECONOMETRICA
11,349962900006,CONSUMER HETEROGENEITY AND PAID SEARCH EFFECTIVENESS: A LARGE-SCALE FIELD EXPERIMENT,10.3982/ECTA12423,1,3,4,USA,Univ Calif Berkeley,,"Tadelis, Steven",ECONOMETRICA
12,349962900007,A CHARACTERIZATION OF RATIONALIZABLE CONSUMER BEHAVIOR,10.3982/ECTA12345,1,1,1,USA,Univ Chicago,Dept Econ,"Reny, Philip J.",ECONOMETRICA
13,349962900008,AGENCY MODELS WITH FREQUENT ACTIONS,10.3982/ECTA10656,1,2,2,USA,Univ Calif Los Angeles,Dept Econ,"Sadzik, Tomasz",ECONOMETRICA
14,349962900008,AGENCY MODELS WITH FREQUENT ACTIONS,10.3982/ECTA10656,1,2,2,USA,NYU,Dept Econ,"Stacchetti, Ennio",ECONOMETRICA
15,349962900009,TIME AND NO LOTTERIES: AN AXIOMATIZATION OF MAXMIN EXPECTED UTILITY,10.3982/ECTA10886,1,1,1,USA,Univ Rochester,Dept Econ,"Kochov, Asen",ECONOMETRICA
16,349962900010,TRADE DYNAMICS IN THE MARKET FOR FEDERAL FUNDS,10.3982/ECTA10586,1,2,2,USA,Fed Reserve Bank New York,Financial Intermediat Funct,"Afonso, Gara",ECONOMETRICA
17,349962900010,TRADE DYNAMICS IN THE MARKET FOR FEDERAL FUNDS,10.3982/ECTA10586,1,2,2,USA,NYU,Dept Econ,"Lagos, Ricardo",ECONOMETRICA
18,349962900011,MOMENT INEQUALITIES AND THEIR APPLICATION,10.3982/ECTA6865,1,4,4,USA,Columbia Univ,Dept Econ,"Ho, Kate",ECONOMETRICA
19,349962900011,MOMENT INEQUALITIES AND THEIR APPLICATION,10.3982/ECTA6865,1,4,4,USA,Harvard Univ,Dept Econ,"Pakes, A.",ECONOMETRICA
20,349962900011,MOMENT INEQUALITIES AND THEIR APPLICATION,10.3982/ECTA6865,1,4,4,USA,Univ Wisconsin,Dept Econ,"Porter, J.",ECONOMETRICA
21,349962900011,MOMENT INEQUALITIES AND THEIR APPLICATION,10.3982/ECTA6865,1,4,4,USA,Compass Lexecon,,"Ishii, Joy",ECONOMETRICA
22,349962900012,TIME CONSISTENCY: STATIONARITY AND TIME INVARIANCE,10.3982/ECTA10872,1,1,1,Canada,Univ British Columbia,Vancouver Sch Econ,"Halevy, Yoram",ECONOMETRICA
23,349962900013,"BAYESIAN LEARNING, SMOOTH APPROXIMATE OPTIMAL BEHAVIOR, AND CONVERGENCE TO epsilon-NASH EQUILIBRIUM",10.3982/ECTA9332,1,1,1,Japan,Kanto Gakuin Univ,Dept Econ,"Noguchi, Yuichi",ECONOMETRICA
24,349962900014,"A COMMENT ON ""CAN RELAXATION OF BELIEFS RATIONALIZE THE WINNER'S CURSE?: AN EXPERIMENTAL STUDY""",10.3982/ECTA11000,2,2,2,Scotland,Univ St Andrews,Sch Econ & Finance,"Costa-Gomes, Miguel A.",ECONOMETRICA
25,349962900014,"A COMMENT ON ""CAN RELAXATION OF BELIEFS RATIONALIZE THE WINNER'S CURSE?: AN EXPERIMENTAL STUDY""",10.3982/ECTA11000,2,2,2,England,Univ York,Dept Econ & Related Studies,"Shimoji, Makoto",ECONOMETRICA
26,352625700003,"VOTING TECHNOLOGY, POLITICAL RESPONSIVENESS, AND INFANT HEALTH: EVIDENCE FROM BRAZIL",10.3982/ECTA11520,1,1,2,USA,Princeton Univ,Dept Econ,"Fujiwara, Thomas",ECONOMETRICA
27,352625700003,"VOTING TECHNOLOGY, POLITICAL RESPONSIVENESS, AND INFANT HEALTH: EVIDENCE FROM BRAZIL",10.3982/ECTA11520,1,1,2,USA,NBER,,"Fujiwara, Thomas",ECONOMETRICA
28,352625700004,HOW IS POWER SHARED IN AFRICA?,10.3982/ECTA11237,2,3,4,USA,US Secur & Exchange Commiss,,"Rainer, Ilia",ECONOMETRICA
29,352625700004,HOW IS POWER SHARED IN AFRICA?,10.3982/ECTA11237,2,3,4,Canada,Univ British Columbia,Vancouver Sch Econ,"Francois, Patrick",ECONOMETRICA
30,352625700004,HOW IS POWER SHARED IN AFRICA?,10.3982/ECTA11237,2,3,4,Canada,CIFAR,Toronto,"Francois, Patrick",ECONOMETRICA
31,352625700004,HOW IS POWER SHARED IN AFRICA?,10.3982/ECTA11237,2,3,4,Canada,CIFAR,Toronto,"Trebbi, Francesco",ECONOMETRICA
32,352625700004,HOW IS POWER SHARED IN AFRICA?,10.3982/ECTA11237,2,3,4,USA,NBER,,"Trebbi, Francesco",ECONOMETRICA
33,352625700004,HOW IS POWER SHARED IN AFRICA?,10.3982/ECTA11237,2,3,4,Canada,Univ British Columbia,Vancouver Sch Econ,"Trebbi, Francesco",ECONOMETRICA
34,352625700005,DEMOCRATIZATION UNDER THE THREAT OF REVOLUTION: EVIDENCE FROM THE GREAT REFORM ACT OF 1832,10.3982/ECTA11484,4,2,5,Israel,Bar Ilan Univ,Dept Econ,"Franck, Raphael",ECONOMETRICA
35,352625700005,DEMOCRATIZATION UNDER THE THREAT OF REVOLUTION: EVIDENCE FROM THE GREAT REFORM ACT OF 1832,10.3982/ECTA11484,4,2,5,USA,Brown Univ,Dept Econ,"Franck, Raphael",ECONOMETRICA
36,352625700005,DEMOCRATIZATION UNDER THE THREAT OF REVOLUTION: EVIDENCE FROM THE GREAT REFORM ACT OF 1832,10.3982/ECTA11484,4,2,5,Germany,CESifo,,"Aidt, Toke S.",ECONOMETRICA
37,352625700005,DEMOCRATIZATION UNDER THE THREAT OF REVOLUTION: EVIDENCE FROM THE GREAT REFORM ACT OF 1832,10.3982/ECTA11484,4,2,5,England,Univ Cambridge Jesus Coll,,"Aidt, Toke S.",ECONOMETRICA
38,352625700005,DEMOCRATIZATION UNDER THE THREAT OF REVOLUTION: EVIDENCE FROM THE GREAT REFORM ACT OF 1832,10.3982/ECTA11484,4,2,5,England,Univ Cambridge,Fac Econ,"Aidt, Toke S.",ECONOMETRICA
