,SerialNumber,DocType,DBYear,PaperSecUID,PaperTitle,ArticleNumber,countryNumber,AuthorNumber,AffiliationNumber,Country,FullOrgName,OrgFirstClassName,Fullname,journaltitle
0,38875966,Article,2015,349557700001,Leverage and the Foreclosure Crisis,10.1086/677349,1,2,2,USA,Univ Wisconsin Madison,,"Quintin, Erwan",JOURNAL OF POLITICAL ECONOMY
1,38875966,Article,2015,349557700001,Leverage and the Foreclosure Crisis,10.1086/677349,1,2,2,USA,Natl Bur Econ Res,,"Corbae, Dean",JOURNAL OF POLITICAL ECONOMY
2,38875966,Article,2015,349557700001,Leverage and the Foreclosure Crisis,10.1086/677349,1,2,2,USA,Univ Wisconsin Madison,,"Corbae, Dean",JOURNAL OF POLITICAL ECONOMY
3,38875967,Article,2015,349557700002,Asset Pricing and Asymmetric Reasoning,10.1086/679283,3,4,5,USA,Univ Calif Los Angeles,,"Zame, William",JOURNAL OF POLITICAL ECONOMY
4,38875967,Article,2015,349557700002,Asset Pricing and Asymmetric Reasoning,10.1086/679283,3,4,5,USA,Univ Utah,,"Bossaerts, Peter",JOURNAL OF POLITICAL ECONOMY
5,38875967,Article,2015,349557700002,Asset Pricing and Asymmetric Reasoning,10.1086/679283,3,4,5,Australia,Univ Melbourne,Melbourne,"Bossaerts, Peter",JOURNAL OF POLITICAL ECONOMY
6,38875967,Article,2015,349557700002,Asset Pricing and Asymmetric Reasoning,10.1086/679283,3,4,5,USA,Univ Utah,,"Asparouhova, Elena",JOURNAL OF POLITICAL ECONOMY
7,38875967,Article,2015,349557700002,Asset Pricing and Asymmetric Reasoning,10.1086/679283,3,4,5,USA,Michigan State Univ,,"Eguia, Jon",JOURNAL OF POLITICAL ECONOMY
8,38875967,Article,2015,349557700002,Asset Pricing and Asymmetric Reasoning,10.1086/679283,3,4,5,England,Univ Bristol,Bristol BS8 1TH,"Eguia, Jon",JOURNAL OF POLITICAL ECONOMY
9,38875968,Article,2015,349557700003,The Origins of Savings Behavior,10.1086/679284,2,2,2,USA,Univ Washington,,"Siegel, Stephan",JOURNAL OF POLITICAL ECONOMY
10,38875968,Article,2015,349557700003,The Origins of Savings Behavior,10.1086/679284,2,2,2,Peoples R China,China Europe Int Business Sch,,"Cronqvist, Henrik",JOURNAL OF POLITICAL ECONOMY
11,38875969,Article,2015,349557700004,Measuring Returns to Hospital Care: Evidence from Ambulance Referral Patterns,10.1086/677756,1,4,4,USA,MIT,,"Doyle, Joseph J., Jr.",JOURNAL OF POLITICAL ECONOMY
12,38875969,Article,2015,349557700004,Measuring Returns to Hospital Care: Evidence from Ambulance Referral Patterns,10.1086/677756,1,4,4,USA,Natl Bur Econ Res,,"Doyle, Joseph J., Jr.",JOURNAL OF POLITICAL ECONOMY
13,38875969,Article,2015,349557700004,Measuring Returns to Hospital Care: Evidence from Ambulance Referral Patterns,10.1086/677756,1,4,4,USA,MIT,,"Gruber, Jonathan",JOURNAL OF POLITICAL ECONOMY
14,38875969,Article,2015,349557700004,Measuring Returns to Hospital Care: Evidence from Ambulance Referral Patterns,10.1086/677756,1,4,4,USA,Natl Bur Econ Res,,"Gruber, Jonathan",JOURNAL OF POLITICAL ECONOMY
15,38875969,Article,2015,349557700004,Measuring Returns to Hospital Care: Evidence from Ambulance Referral Patterns,10.1086/677756,1,4,4,USA,Vanderbilt Univ,,"Graves, John A.",JOURNAL OF POLITICAL ECONOMY
16,38875969,Article,2015,349557700004,Measuring Returns to Hospital Care: Evidence from Ambulance Referral Patterns,10.1086/677756,1,4,4,USA,Natl Bur Econ Res,,"Kleiner, Samuel A.",JOURNAL OF POLITICAL ECONOMY
17,38875969,Article,2015,349557700004,Measuring Returns to Hospital Care: Evidence from Ambulance Referral Patterns,10.1086/677756,1,4,4,USA,Cornell Univ,,"Kleiner, Samuel A.",JOURNAL OF POLITICAL ECONOMY
18,38875970,Article,2015,349557700005,Suspense and Surprise,10.1086/677350,1,3,2,USA,Northwestern Univ,,"Ely, Jeffrey",JOURNAL OF POLITICAL ECONOMY
19,38875970,Article,2015,349557700005,Suspense and Surprise,10.1086/677350,1,3,2,USA,Univ Chicago,,"Frankel, Alexander",JOURNAL OF POLITICAL ECONOMY
20,38875970,Article,2015,349557700005,Suspense and Surprise,10.1086/677350,1,3,2,USA,Univ Chicago,,"Kamenica, Emir",JOURNAL OF POLITICAL ECONOMY
21,39050064,Editorial Material,2015,351351400001,Preface,10.1086/680415,1,2,2,USA,Rice Univ,,"Cunha, Flavio",JOURNAL OF POLITICAL ECONOMY
22,39050064,Editorial Material,2015,351351400001,Preface,10.1086/680415,1,2,2,USA,Univ Penn,,"Todd, Petra",JOURNAL OF POLITICAL ECONOMY
