,SerialNumber,DocType,DBYear,PaperSecUID,PaperTitle,ArticleNumber,countryNumber,AuthorNumber,AffiliationNumber,Country,FullOrgName,OrgFirstClassName,Fullname,journaltitle
0,38935782,Article,2015,350114400001,Estimates of the Trade and Welfare Effects of NAFTA,10.1093/restud/rdu035,1,2,2,USA,NBER,,"Caliendo, Lorenzo",REVIEW OF ECONOMIC STUDIES
1,38935782,Article,2015,350114400001,Estimates of the Trade and Welfare Effects of NAFTA,10.1093/restud/rdu035,1,2,2,USA,Yale Univ,,"Caliendo, Lorenzo",REVIEW OF ECONOMIC STUDIES
2,38935783,Article,2015,350114400002,Learning and Model Validation,10.1093/restud/rdu026,3,2,3,Canada,Simon Fraser Univ,Burnaby,"Kasa, Kenneth",REVIEW OF ECONOMIC STUDIES
3,38935783,Article,2015,350114400002,Learning and Model Validation,10.1093/restud/rdu026,3,2,3,South Korea,Hanyang Univ,,"Cho, In-Koo",REVIEW OF ECONOMIC STUDIES
4,38935783,Article,2015,350114400002,Learning and Model Validation,10.1093/restud/rdu026,3,2,3,USA,Univ Illinois,,"Cho, In-Koo",REVIEW OF ECONOMIC STUDIES
5,38935784,Article,2015,350114400003,A Linder Hypothesis for Foreign Direct Investment,10.1093/restud/rdu027,1,3,3,USA,Univ Calif Los Angeles,,"Fajgelbaum, Pablo",REVIEW OF ECONOMIC STUDIES
6,38935784,Article,2015,350114400003,A Linder Hypothesis for Foreign Direct Investment,10.1093/restud/rdu027,1,3,3,USA,Harvard Univ,,"Helpman, Elhanan",REVIEW OF ECONOMIC STUDIES
7,38935784,Article,2015,350114400003,A Linder Hypothesis for Foreign Direct Investment,10.1093/restud/rdu027,1,3,3,USA,Princeton Univ,,"Grossman, Gene M.",REVIEW OF ECONOMIC STUDIES
8,38935785,Article,2015,350114400004,Do Competitive Workplaces Deter Female Workers? A Large-Scale Natural Field Experiment on Job Entry Decisions,10.1093/restud/rdu030,2,3,3,Australia,Monash Univ,Clayton,"Leibbrandt, Andreas",REVIEW OF ECONOMIC STUDIES
9,38935785,Article,2015,350114400004,Do Competitive Workplaces Deter Female Workers? A Large-Scale Natural Field Experiment on Job Entry Decisions,10.1093/restud/rdu030,2,3,3,USA,Claremont Mckenna Coll,,"Flory, Jeffrey A.",REVIEW OF ECONOMIC STUDIES
10,38935785,Article,2015,350114400004,Do Competitive Workplaces Deter Female Workers? A Large-Scale Natural Field Experiment on Job Entry Decisions,10.1093/restud/rdu030,2,3,3,Australia,Monash Univ,Clayton,"List, John A.",REVIEW OF ECONOMIC STUDIES
11,38935785,Article,2015,350114400004,Do Competitive Workplaces Deter Female Workers? A Large-Scale Natural Field Experiment on Job Entry Decisions,10.1093/restud/rdu030,2,3,3,USA,Univ Chicago,,"List, John A.",REVIEW OF ECONOMIC STUDIES
12,38935786,Article,2015,350114400005,Does Belief Heterogeneity Explain Asset Prices: The Case of the Longshot Bias,10.1093/restud/rdu017,1,2,1,USA,Univ Wisconsin,Dept Econ,"Gandhi, Amit",REVIEW OF ECONOMIC STUDIES
13,38935787,Article,2015,350114400006,Projects and Team Dynamics,10.1093/restud/rdu031,1,1,2,USA,CALTECH,,"Georgiadis, George",REVIEW OF ECONOMIC STUDIES
14,38935787,Article,2015,350114400006,Projects and Team Dynamics,10.1093/restud/rdu031,1,1,2,USA,Boston Univ,,"Georgiadis, George",REVIEW OF ECONOMIC STUDIES
15,38935788,Article,2015,350114400007,Consumer Inattention and Bill-Shock Regulation,10.1093/restud/rdu024,1,1,1,USA,Boston Coll,,"Grubb, Michael D.",REVIEW OF ECONOMIC STUDIES
16,38935789,Article,2015,350114400008,Goods Prices and Availability in Cities,10.1093/restud/rdu033,1,2,3,USA,NBER,,"Handbury, Jessie",REVIEW OF ECONOMIC STUDIES
17,38935789,Article,2015,350114400008,Goods Prices and Availability in Cities,10.1093/restud/rdu033,1,2,3,USA,Univ Penn,,"Handbury, Jessie",REVIEW OF ECONOMIC STUDIES
18,38935789,Article,2015,350114400008,Goods Prices and Availability in Cities,10.1093/restud/rdu033,1,2,3,USA,NBER,,"Weinstein, David E.",REVIEW OF ECONOMIC STUDIES
19,38935789,Article,2015,350114400008,Goods Prices and Availability in Cities,10.1093/restud/rdu033,1,2,3,USA,Columbia Univ,,"Weinstein, David E.",REVIEW OF ECONOMIC STUDIES
20,38935790,Article,2015,350114400009,Loss Aversion and Inefficient Renegotiation,10.1093/restud/rdu034,2,2,3,Germany,Univ Munich,CESifo,"Schmidt, Klaus M.",REVIEW OF ECONOMIC STUDIES
